Group12,Group2,Group3,Group4,Group5,NoTrans,Quantity,GrossValue,NettValue,DiscountValue,AvgTransValue
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.00,0.00,5.00
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.00,0.00,5.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.45,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.45,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,05 Kirkcaldy,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.99,0.00,5.99
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.99,0.00,5.99
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,1,5.99,5.00,0.00,5.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,06 Peebles,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,1,5.99,5.99,0.00,5.99
1001400001,08 Perth,,,,1,1,5.99,5.99,0.00,5.99
1001400001,08 Perth,,,,1,1,5.99,5.00,0.00,5.00
1001400001,08 Perth,,,,1,1,5.99,5.00,0.00,5.00
1001400001,08 Perth,,,,1,1,5.99,5.99,0.00,5.99
1001400001,08 Perth,,,,1,1,5.99,5.00,0.00,5.00
1001400001,08 Perth,,,,1,1,5.99,5.00,0.00,5.00
1001400001,08 Perth,,,,1,1,5.99,4.50,0.00,4.50
1001400001,08 Perth,,,,1,1,5.99,4.50,0.00,4.50
1001400001,08 Perth,,,,1,1,5.99,5.00,0.00,5.00
1001400001,08 Perth,,,,1,1,5.99,5.00,0.00,5.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.50,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.50,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,08 Perth,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1001400001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1001400001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1001400001,09 Largs,,,,1,1,5.99,0.99,0.00,0.99
1001400001,09 Largs,,,,1,1,5.99,0.99,0.00,0.99
1001400001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1001400001,09 Largs,,,,1,1,5.99,0.99,0.00,0.99
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.00,0.00,5.00
1001400001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-5.00,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-5.00,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-5.00,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,09 Largs,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,1,5.99,4.01,0.00,4.01
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,2,11.98,10.00,0.00,10.00
1001400001,11 Dundee,,,,1,1,5.99,4.01,0.00,4.01
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,2,11.98,10.00,0.00,10.00
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,1,5.99,4.01,0.00,4.01
1001400001,11 Dundee,,,,1,2,11.98,10.00,0.00,10.00
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,2,11.98,10.00,0.00,10.00
1001400001,11 Dundee,,,,1,2,11.98,10.00,0.00,10.00
1001400001,11 Dundee,,,,1,2,11.98,10.00,0.00,10.00
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,1,4.01,4.01,0.00,4.01
1001400001,11 Dundee,,,,1,1,5.99,5.99,0.00,5.99
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,11 Dundee,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,12 Castle Douglas,,,,1,1,5.99,5.99,0.00,5.99
1001400001,12 Castle Douglas,,,,1,1,5.99,4.01,0.00,4.01
1001400001,12 Castle Douglas,,,,1,1,5.99,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,1,5.99,5.99,0.00,5.99
1001400001,12 Castle Douglas,,,,1,1,4.01,4.01,0.00,4.01
1001400001,12 Castle Douglas,,,,1,1,5.99,5.99,0.00,5.99
1001400001,12 Castle Douglas,,,,1,1,5.99,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,1,4.01,4.01,0.00,4.01
1001400001,12 Castle Douglas,,,,1,1,5.99,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,1,5.99,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,1,5.99,5.99,0.00,5.99
1001400001,12 Castle Douglas,,,,1,-1,-5.99,-5.99,0.00,-5.99
1001400001,12 Castle Douglas,,,,1,1,5.99,5.99,0.00,5.99
1001400001,12 Castle Douglas,,,,1,1,5.00,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,1,5.00,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,1,5.99,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,1,5.99,5.00,0.00,5.00
1001400001,12 Castle Douglas,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,12 Castle Douglas,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,12 Castle Douglas,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,12 Castle Douglas,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,12 Castle Douglas,,,,1,0,0.00,0.00,-0.99,0.00
